Status,Sharpe,Fitness,Returns(%),Drawdown(%),Margin(bps),Turnover(%),Universe,Delay,Decay,Neutralization,FailedChecks,Code
FAILED,0.4100,0.2600,4.9500,20.8100,32.1700,3.0800,TOP3000,0,2,SUBINDUSTRY,LOW_SHARPE;LOW_FITNESS;LOW_SUB_UNIVERSE_SHARPE;SELF_CORRELATION,"normalize(ts_decay_linear(group_neutralize(rank(ts_backfill(ebitda, 60)), bucket(rank(cap), range=""0, 1, 0.1"")), 3))"
SUCCESS,0.4400,0.2300,3.5400,13.0600,5.7100,12.3900,TOP1000,0,5,INDUSTRY,LOW_SHARPE;LOW_FITNESS;LOW_SUB_UNIVERSE_SHARPE,"normalize(ts_decay_linear(group_neutralize(rank(rank(ts_rank(ts_backfill(ebitda, 60), 90)) - rank(ts_rank(close, 20))), industry), 10))"
SUCCESS,0.2700,0.1000,1.8300,10.2100,3.1300,11.6900,TOP1000,0,8,SUBINDUSTRY,LOW_SHARPE;LOW_FITNESS;LOW_SUB_UNIVERSE_SHARPE,"normalize(ts_decay_linear(group_neutralize(rank(rank(ts_rank(ts_backfill(bookvalue_ps, 60), 90)) - rank(ts_rank(close, 20))), industry), 10))"
ERROR,,,,,,,TOP1000,0,2,INDUSTRY,,"-1 * normalize(ts_decay_linear(group_neutralize(rank(rank(ts_backfill(credit_facility_max_borrowing_2, 60)) * rank(ts_backfill(options_volume_flow, 60))), bucket(rank(ts_mean(volume, 20)), range=""0, 1, 0.1"")), 5))"
ERROR,,,,,,,TOP1000,0,2,SUBINDUSTRY,,"-1 * normalize(ts_decay_linear(group_neutralize(rank(rank(ts_backfill(mdl177_2_5yearrelativevaluefactor_rel5yebitdap, 60)) * rank(ts_backfill(options_volume_flow, 60))), bucket(rank(ts_mean(volume, 20)), range=""0, 1, 0.1"")), 5))"
ERROR,,,,,,,TOP3000,0,10,INDUSTRY,,"-1 * normalize(ts_decay_linear(group_neutralize(rank(rank(ts_backfill(mdl177_2_garpanalystmodel_qgp_chgvaluation, 60)) * rank(ts_backfill(options_volume_flow, 60))), bucket(rank(ts_mean(volume, 20)), range=""0, 1, 0.1"")), 5))"
ERROR,,,,,,,TOP3000,0,5,INDUSTRY,,"-1 * normalize(ts_decay_linear(group_neutralize(rank(rank(ts_backfill(anl4_adjusted_netincome_ft, 60)) * rank(ts_backfill(options_volume_flow, 60))), bucket(rank(ts_mean(volume, 20)), range=""0, 1, 0.1"")), 5))"
SUCCESS,0.9500,0.7200,7.2800,8.0100,39.3800,3.7000,TOP3000,0,8,SUBINDUSTRY,LOW_SHARPE;LOW_FITNESS,"normalize(ts_decay_linear(group_neutralize(rank(rank(ts_backfill(credit_facility_max_borrowing, 60)) * rank(ts_backfill(implied_volatility_call_270, 60))), bucket(rank(cap), range=""0, 1, 0.1"")), 2))"
ERROR,,,,,,,TOP1000,0,8,INDUSTRY,,"normalize(ts_decay_linear(group_neutralize(rank(rank(ts_backfill(mdl177_2_earningsqualityfactor_ttmaccu, 60)) * rank(ts_backfill(implied_volatility_call_270, 60))), bucket(rank(cap), range=""0, 1, 0.1"")), 2))"
ERROR,,,,,,,TOP1000,0,5,INDUSTRY,,"normalize(ts_decay_linear(group_neutralize(rank(rank(ts_backfill(mdl177_2_deepvaluefactor_indidivy, 60)) * rank(ts_backfill(implied_volatility_call_270, 60))), bucket(rank(cap), range=""0, 1, 0.1"")), 2))"
ERROR,,,,,,,TOP3000,0,10,INDUSTRY,,"normalize(ts_decay_linear(group_neutralize(rank(rank(ts_backfill(mdl177_2_earningsqualityfactor_dpcapex, 60)) * rank(ts_backfill(implied_volatility_call_270, 60))), bucket(rank(cap), range=""0, 1, 0.1"")), 2))"
ERROR,,,,,,,TOP3000,0,2,INDUSTRY,,"normalize(ts_decay_linear(group_neutralize(rank(rank(ts_rank(ts_backfill(mdl177_2_earningmomentumfactor400_surp, 60), 90)) - rank(ts_rank(close, 20))), subindustry), 10))"
ERROR,,,,,,,TOP3000,0,3,SUBINDUSTRY,,"normalize(ts_decay_linear(group_neutralize(rank(rank(ts_rank(ts_backfill(mdl177_2_earningsqualityfactor_saleeps, 60), 90)) - rank(ts_rank(close, 20))), subindustry), 10))"
ERROR,,,,,,,TOP1000,0,2,INDUSTRY,,"normalize(ts_decay_linear(group_neutralize(rank(rank(ts_rank(ts_backfill(mdl177_2_deepvaluefactor_cashp, 60), 90)) - rank(ts_rank(close, 20))), subindustry), 10))"
ERROR,,,,,,,TOP3000,0,5,SUBINDUSTRY,,"normalize(ts_decay_linear(group_neutralize(rank(rank(ts_rank(ts_backfill(gross_profit_to_assets_ratio, 60), 90)) - rank(ts_rank(close, 20))), subindustry), 10))"
ERROR,,,,,,,TOP1000,0,10,SUBINDUSTRY,,"-1 * normalize(ts_decay_linear(group_neutralize(rank(zscore(ts_backfill(earnings_momentum_composite_score_2, 60))), bucket(rank(cap), range=""0, 1, 0.1"")), 8))"
ERROR,,,,,,,TOP3000,0,3,INDUSTRY,,"-1 * normalize(ts_decay_linear(group_neutralize(rank(zscore(ts_backfill(forward_sales_to_price, 60))), bucket(rank(cap), range=""0, 1, 0.1"")), 8))"
FAILED,-0.7200,-0.2400,-2.6800,16.0700,-2.2800,23.4600,TOP3000,0,2,SUBINDUSTRY,LOW_SHARPE;LOW_FITNESS;LOW_SUB_UNIVERSE_SHARPE;SELF_CORRELATION,"normalize(ts_decay_linear(group_neutralize(rank(rank(ts_rank(ts_backfill(ebit, 60), 90)) - rank(ts_rank(volume, 20))), bucket(rank(cap), range=""0, 1, 0.1"")), 8))"
FAILED,-0.4400,-0.1600,-2.4300,17.4300,-2.5700,18.9300,TOP1000,0,3,INDUSTRY,LOW_SHARPE;LOW_FITNESS;SELF_CORRELATION,"normalize(ts_decay_linear(group_neutralize(rank(rank(ts_rank(ts_backfill(ebit, 60), 90)) - rank(ts_rank(volume, 20))), bucket(rank(ts_mean(volume, 20)), range=""0, 1, 0.1"")), 10))"
SUCCESS,0.5300,0.2700,3.2600,10.2400,6.1500,10.6100,TOP3000,0,10,INDUSTRY,LOW_SHARPE;LOW_FITNESS,"normalize(ts_decay_linear(group_neutralize(rank(rank(ts_rank(ts_backfill(ebit, 60), 90)) - rank(ts_rank(close, 20))), subindustry), 10))"
ERROR,,,,,,,TOP1000,0,5,SUBINDUSTRY,,"normalize(ts_decay_linear(group_neutralize(rank(rank(ts_rank(ts_backfill(mdl177_2_earningsqualityfactor_dpcapex, 60), 90)) - rank(ts_rank(close, 20))), subindustry), 10))"
FAILED,0.6170,0.5268,-8.5349,-12.2732,2.9998,20.6163,TOP3000,0,10,INDUSTRY,SELF_CORRELATION,"normalize(ts_decay_linear(group_neutralize(rank(ts_backfill(earnings_momentum_composite_score, 60)), bucket(rank(ts_mean(volume, 20)), range=""0, 1, 0.1"")), 3))"
SUCCESS,0.7465,1.1242,30.6565,-15.0238,22.7021,31.0700,TOP1000,0,10,INDUSTRY,,"normalize(ts_decay_linear(group_neutralize(rank(rank(ts_rank(ts_backfill(earnings_momentum_composite_score, 60), 90)) - rank(ts_rank(returns, 20))), bucket(rank(cap), range=""0, 1, 0.1"")), 10))"
SUCCESS,2.0276,1.8003,21.4037,-11.6302,24.5530,57.2521,TOP3000,0,3,SUBINDUSTRY,,"normalize(ts_decay_linear(group_neutralize(rank(rank(ts_rank(ts_backfill(mdl177_2_earningsqualityfactor_uar, 60), 90)) - rank(ts_rank(returns, 20))), bucket(rank(cap), range=""0, 1, 0.1"")), 10))"
SUCCESS,1.4510,0.6939,33.5974,-21.6807,7.3538,61.9929,TOP3000,0,3,NONE,,"normalize(ts_decay_linear(group_neutralize(rank(rank(ts_rank(ts_backfill(mdl177_2_earningsqualityfactor_uar, 60), 90)) - rank(ts_rank(returns, 20))), industry), 10))"
FAILED,,,,,,,TOP3000,0,3,SUBINDUSTRY,SELF_CORRELATION,"normalize(ts_decay_linear(group_neutralize(rank(group_neutralize(rank(rank(ts_rank(ts_backfill(mdl177_2_earningsqualityfactor_uar, 60), 90)) - rank(ts_rank(returns, 20))), industry)), bucket(rank(cap), range=""0, 1, 0.1"")), 10))"
FAILED,,,,,,,TOP3000,0,3,SUBINDUSTRY,SELF_CORRELATION,"normalize(ts_decay_linear(group_neutralize(rank(rank(ts_rank(ts_backfill(mdl177_2_earningsqualityfactor_uar, 60), 90)) - rank(ts_rank(returns, 20))), bucket(rank(ts_mean(volume, 20)), range=""0, 1, 0.1"")), 10))"
SUCCESS,1.6019,2.1818,10.7514,-3.6438,12.7415,6.5763,TOP1000,0,5,SUBINDUSTRY,,"normalize(ts_decay_linear(group_neutralize(rank(ts_delta(zscore(ts_backfill(enterprise_value_weighted_value_score, 60)), 5)), bucket(rank(cap), range=""0, 1, 0.1"")), 3))"
FAILED,1.5987,1.2118,17.2734,-16.8016,22.0875,61.0468,TOP3000,0,3,INDUSTRY,SELF_CORRELATION,"normalize(ts_decay_linear(group_neutralize(rank(ts_rank(ts_backfill(current_liabilities_to_price, 60), 20)), bucket(rank(cap), range=""0, 1, 0.1"")), 3))"
FAILED,,,,,,,TOP3000,0,8,SUBINDUSTRY,,"normalize(ts_decay_linear(group_neutralize(rank(ts_delta(zscore(ts_backfill(current_liabilities_to_price, 60)), 20)), bucket(rank(cap), range=""0, 1, 0.1"")), 10))"
FAILED,-0.4700,-0.1800,-1.8400,10.7000,-6.8100,5.4100,TOP3000,0,10,SUBINDUSTRY,LOW_SHARPE;LOW_FITNESS;SELF_CORRELATION,"normalize(ts_decay_linear(group_neutralize(rank(ts_rank(ts_backfill(fnd6_dltr, 60), 60)), subindustry), 10))"
FAILED,0.6100,0.3600,4.8700,11.3700,6.9800,13.9400,TOP3000,0,2,INDUSTRY,LOW_SHARPE;LOW_FITNESS;SELF_CORRELATION,"normalize(ts_decay_linear(group_neutralize(rank(rank(ts_rank(ts_backfill(fnd6_dltr, 60), 90)) - rank(ts_rank(close, 20))), bucket(rank(ts_mean(volume, 20)), range=""0, 1, 0.1"")), 10))"
FAILED,0.0500,0.0100,0.2000,7.8000,0.2600,15.1100,TOP1000,0,8,SUBINDUSTRY,LOW_SHARPE;LOW_FITNESS;SELF_CORRELATION,"normalize(ts_decay_linear(group_neutralize(rank(rank(ts_rank(ts_backfill(fnd6_dltr, 60), 90)) - rank(ts_rank(volume, 20))), subindustry), 10))"
FAILED,0.5800,0.3600,4.7700,13.1100,8.2600,11.5400,TOP1000,0,8,INDUSTRY,LOW_SHARPE;LOW_FITNESS;SELF_CORRELATION,"normalize(ts_decay_linear(group_neutralize(rank(rank(ts_rank(ts_backfill(fnd6_dltr, 60), 90)) - rank(ts_rank(close, 20))), bucket(rank(ts_mean(volume, 20)), range=""0, 1, 0.1"")), 10))"
ERROR,,,,,,,TOP1000,0,10,SUBINDUSTRY,,"normalize(ts_decay_linear(group_neutralize(rank(rank(ts_rank(ts_backfill(mdl177_2_garpanalystmodel_qgp_composite, 60), 90)) - rank(ts_rank(vwap, 20))), bucket(rank(ts_mean(volume, 20)), range=""0, 1, 0.1"")), 10))"
ERROR,,,,,,,TOP1000,0,2,INDUSTRY,,"normalize(ts_decay_linear(group_neutralize(rank(rank(ts_rank(ts_backfill(mdl177_2_deepvaluefactor_coreepsp, 60), 90)) - rank(ts_rank(vwap, 20))), bucket(rank(ts_mean(volume, 20)), range=""0, 1, 0.1"")), 10))"
ERROR,,,,,,,TOP3000,0,5,SUBINDUSTRY,,"normalize(ts_decay_linear(group_neutralize(rank(rank(ts_rank(ts_backfill(anl4_afv4_eps_mean, 60), 90)) - rank(ts_rank(vwap, 20))), bucket(rank(ts_mean(volume, 20)), range=""0, 1, 0.1"")), 10))"
FAILED,0.5600,0.2600,2.6200,4.8200,5.0500,10.3600,TOP1000,0,8,SUBINDUSTRY,LOW_SHARPE;LOW_FITNESS;SELF_CORRELATION,"normalize(ts_decay_linear(group_neutralize(rank(rank(ts_rank(ts_backfill(debt_principal_due_year_five, 60), 90)) - rank(ts_rank(vwap, 20))), bucket(rank(ts_mean(volume, 20)), range=""0, 1, 0.1"")), 10))"
ERROR,,,,,,,TOP1000,0,3,INDUSTRY,,"normalize(ts_decay_linear(group_neutralize(rank(rank(ts_rank(ts_backfill(mdl177_2_deepvaluefactor_navp, 60), 90)) - rank(ts_rank(returns, 20))), bucket(rank(ts_mean(volume, 20)), range=""0, 1, 0.1"")), 5))"
FAILED,0.7100,0.2600,2.7000,5.8800,2.7200,19.8900,TOP3000,0,3,INDUSTRY,LOW_SHARPE;LOW_FITNESS;LOW_SUB_UNIVERSE_SHARPE;SELF_CORRELATION,"normalize(ts_decay_linear(group_neutralize(rank(rank(ts_rank(ts_backfill(debt_repayments_total, 60), 90)) - rank(ts_rank(returns, 20))), bucket(rank(ts_mean(volume, 20)), range=""0, 1, 0.1"")), 5))"
FAILED,-0.2900,-0.0700,-1.0100,11.2800,-1.3100,15.3700,TOP1000,0,2,SUBINDUSTRY,LOW_SHARPE;LOW_FITNESS;LOW_SUB_UNIVERSE_SHARPE;SELF_CORRELATION,"normalize(ts_decay_linear(group_neutralize(rank(rank(ts_rank(ts_backfill(debt_repayments_total, 60), 90)) - rank(ts_rank(volume, 20))), bucket(rank(ts_mean(volume, 20)), range=""0, 1, 0.1"")), 10))"
FAILED,0.8100,0.4400,3.7000,4.0000,7.1500,10.3500,TOP1000,0,5,SUBINDUSTRY,LOW_SHARPE;LOW_FITNESS;SELF_CORRELATION,"normalize(ts_decay_linear(group_neutralize(rank(rank(ts_rank(ts_backfill(debt_repayments_total, 60), 90)) - rank(ts_rank(vwap, 20))), bucket(rank(cap), range=""0, 1, 0.1"")), 10))"
ERROR,,,,,,,TOP1000,0,3,SUBINDUSTRY,,"normalize(ts_decay_linear(group_neutralize(rank(rank(ts_rank(ts_backfill(mdl177_2_earningsqualityfactor_uar, 60), 90)) - rank(ts_rank(returns, 20))), bucket(rank(ts_mean(volume, 20)), range=""0, 1, 0.1"")), 10))"
ERROR,,,,,,,TOP1000,0,8,INDUSTRY,,"normalize(ts_decay_linear(group_neutralize(rank(rank(ts_rank(ts_backfill(mdl177_2_deepvaluefactor_ttmepa, 60), 90)) - rank(ts_rank(returns, 20))), bucket(rank(ts_mean(volume, 20)), range=""0, 1, 0.1"")), 10))"
ERROR,,,,,,,TOP1000,0,8,INDUSTRY,,"normalize(ts_decay_linear(group_neutralize(rank(rank(ts_rank(ts_backfill(mdl177_2_earningsqualityfactor_erc, 60), 90)) - rank(ts_rank(returns, 20))), bucket(rank(ts_mean(volume, 20)), range=""0, 1, 0.1"")), 10))"
ERROR,,,,,,,TOP3000,0,5,SUBINDUSTRY,,"normalize(ts_decay_linear(group_neutralize(rank(rank(ts_rank(ts_backfill(inverse_peg_ratio, 60), 90)) - rank(ts_rank(returns, 20))), bucket(rank(ts_mean(volume, 20)), range=""0, 1, 0.1"")), 10))"
ERROR,,,,,,,TOP1000,0,8,INDUSTRY,,"normalize(ts_decay_linear(group_neutralize(rank(rank(ts_rank(ts_backfill(equity_value_score, 60), 90)) - rank(ts_rank(vwap, 20))), subindustry), 2))"
ERROR,,,,,,,TOP1000,0,3,INDUSTRY,,"normalize(ts_decay_linear(group_neutralize(rank(rank(ts_rank(ts_backfill(forward_ebitda_to_enterprise_value_2, 60), 90)) - rank(ts_rank(vwap, 20))), subindustry), 2))"
FAILED,0.2400,0.0800,1.4800,14.7300,2.2800,12.9900,TOP3000,0,8,SUBINDUSTRY,LOW_SHARPE;LOW_FITNESS;SELF_CORRELATION,"normalize(ts_decay_linear(group_neutralize(rank(rank(ts_rank(ts_backfill(debt, 60), 90)) - rank(ts_rank(vwap, 20))), subindustry), 2))"
FAILED,0.6700,0.3900,4.3300,7.8300,7.4200,11.6600,TOP1000,0,3,SUBINDUSTRY,LOW_SHARPE;LOW_FITNESS;SELF_CORRELATION,"normalize(ts_decay_linear(group_neutralize(rank(rank(ts_rank(ts_backfill(debt, 60), 90)) - rank(ts_rank(close, 20))), bucket(rank(ts_mean(volume, 20)), range=""0, 1, 0.1"")), 10))"
FAILED,-0.7300,-0.3900,-5.9400,36.2400,-5.7900,20.5100,TOP3000,0,5,SUBINDUSTRY,LOW_SHARPE;LOW_FITNESS;SELF_CORRELATION,"normalize(ts_decay_linear(group_neutralize(rank(ts_delta(rank(ts_backfill(enterprise_value, 60)), 10)), bucket(rank(ts_mean(volume, 20)), range=""0, 1, 0.1"")), 5))"
FAILED,-0.6100,-0.4200,-6.0000,37.6800,-11.6300,10.3200,TOP3000,0,10,INDUSTRY,LOW_SHARPE;LOW_FITNESS;LOW_SUB_UNIVERSE_SHARPE;SELF_CORRELATION,"normalize(ts_decay_linear(group_neutralize(rank(ts_delta(rank(ts_backfill(enterprise_value, 60)), 20)), bucket(rank(ts_mean(volume, 20)), range=""0, 1, 0.1"")), 10))"
FAILED,-0.2700,-0.1100,-2.0000,18.3500,-3.4200,11.7300,TOP1000,0,5,INDUSTRY,LOW_SHARPE;LOW_FITNESS;SELF_CORRELATION,"normalize(ts_decay_linear(group_neutralize(rank(rank(ts_rank(ts_backfill(enterprise_value, 60), 90)) - rank(ts_rank(close, 20))), bucket(rank(cap), range=""0, 1, 0.1"")), 10))"
HTTP_400,,,,,,,TOP1000,0,2,INDUSTRY,,"normalize(ts_decay_linear(group_neutralize(rank(rank(ts_backfill(earnings_per_share_estimate_count, 60)) * rank(ts_backfill(sentiment_buzz_weekly, 60))), bucket(rank(ts_mean(volume, 20)), range=""0, 1, 0.1"")), 10))"
HTTP_400,,,,,,,TOP1000,0,5,SUBINDUSTRY,,"normalize(ts_decay_linear(group_neutralize(rank(rank(ts_backfill(inverse_peg_ratio_2, 60)) * rank(ts_backfill(sentiment_buzz_weekly, 60))), bucket(rank(ts_mean(volume, 20)), range=""0, 1, 0.1"")), 10))"
HTTP_400,,,,,,,TOP3000,0,8,INDUSTRY,,"normalize(ts_decay_linear(group_neutralize(rank(rank(ts_backfill(inverse_peg_ratio_2, 60)) * rank(ts_backfill(mdl177_2_deepvaluefactor_ttmpiqp, 60))), bucket(rank(ts_mean(volume, 20)), range=""0, 1, 0.1"")), 10))"
HTTP_400,,,,,,,TOP3000,0,8,INDUSTRY,,"normalize(ts_decay_linear(group_neutralize(rank(rank(ts_backfill(inverse_peg_ratio_2, 60)) * rank(ts_backfill(anl4_ebit_value, 60))), bucket(rank(ts_mean(volume, 20)), range=""0, 1, 0.1"")), 10))"
HTTP_400,,,,,,,TOP1000,0,10,INDUSTRY,,"-1 * normalize(ts_decay_linear(group_neutralize(rank(rank(ts_rank(ts_backfill(earnings_revision_magnitude, 60), 90)) - rank(ts_rank(volume, 20))), bucket(rank(cap), range=""0, 1, 0.1"")), 3))"
